seed,n_routed,n_merged,n_quads,n_leftover_final,seconds
230,5507,92858,51936,0,17.17702579498291
231,5543,92822,51954,0,17.207305431365967
232,5531,92834,51948,0,17.125621795654297
233,5515,92850,51940,0,20.315701961517334
234,5543,92822,51954,0,16.8472101688385
235,5537,92828,51951,0,17.027034759521484
236,5547,92818,51956,0,17.233248949050903
237,5525,92840,51945,0,20.11535882949829
238,5525,92840,51945,0,17.36562752723694
239,5523,92842,51944,0,17.19624137878418
240,5529,92836,51947,0,17.138794422149658
241,5527,92838,51946,0,19.977009534835815
242,5521,92844,51943,0,17.086018800735474
243,5539,92826,51952,0,16.987854480743408
244,5521,92844,51943,0,16.989970684051514
245,5521,92844,51943,0,20.22796320915222
246,5523,92842,51944,0,17.025014638900757
247,5513,92852,51939,0,17.24712896347046
248,5539,92826,51952,0,17.03827452659607
249,5517,92848,51941,0,17.020086765289307
250,5535,92830,51950,0,17.056699752807617
251,5535,92830,51950,0,19.867586374282837
252,5539,92826,51952,0,16.955830335617065
253,5517,92848,51941,0,16.884798049926758
254,5533,92832,51949,0,16.949652910232544
255,5523,92842,51944,0,16.890115976333618
256,5569,92796,51967,0,19.757431268692017
257,5559,92806,51962,0,17.263893604278564
258,5521,92844,51943,0,17.34614586830139
259,5537,92828,51951,0,17.120724201202393
260,5517,92848,51941,0,19.961381435394287
261,5539,92826,51952,0,16.969733953475952
262,5521,92844,51943,0,17.13008689880371
263,5511,92854,51938,0,17.990904331207275
264,5539,92826,51952,0,19.745341539382935
265,5545,92820,51955,0,16.94251799583435
266,5537,92828,51951,0,16.99481177330017
267,5527,92838,51946,0,21.494153261184692
268,5521,92844,51943,0,19.87031364440918
269,5511,92854,51938,0,16.918646097183228
270,5523,92842,51944,0,16.941051483154297
271,5545,92820,51955,0,21.01680612564087
272,5521,92844,51943,0,20.022857189178467
273,5521,92844,51943,0,16.889172077178955
274,5523,92842,51944,0,17.186521530151367
275,5511,92854,51938,0,20.295826196670532
276,5529,92836,51947,0,17.231940746307373
277,5541,92824,51953,0,19.921966791152954
278,5537,92828,51951,0,17.326409816741943
279,5525,92840,51945,0,19.72582244873047
280,5539,92826,51952,0,17.212708234786987
281,5531,92834,51948,0,16.95507526397705
282,5513,92852,51939,0,20.24674963951111
283,5541,92824,51953,0,17.27774667739868
284,5531,92834,51948,0,17.554721355438232
285,5519,92846,51942,0,20.668713808059692
286,5513,92852,51939,0,21.045092821121216
287,5517,92848,51941,0,16.92484164237976
288,5545,92820,51955,0,20.125938653945923
289,5543,92822,51954,0,19.833637475967407
290,5533,92832,51949,0,19.981332063674927
291,5541,92824,51953,0,16.735875368118286
292,5545,92820,51955,0,20.210193157196045
293,5527,92838,51946,0,20.034361600875854
294,5535,92830,51950,0,20.14885139465332
295,5533,92832,51949,0,16.91610074043274
296,5521,92844,51943,0,20.489428758621216
297,5555,92810,51960,0,20.087006330490112
298,5535,92830,51950,0,17.09872531890869
299,5517,92848,51941,0,20.26982307434082
300,5547,92818,51956,0,19.851902961730957
301,5533,92832,51949,0,20.31764531135559
302,5525,92840,51945,0,17.098852396011353
303,5529,92836,51947,0,20.559414863586426
304,5549,92816,51957,0,17.171074151992798
305,5527,92838,51946,0,16.86664581298828
306,5541,92824,51953,0,20.27764630317688
307,5539,92826,51952,0,19.923070430755615
308,5513,92852,51939,0,17.1642906665802
309,5527,92838,51946,0,17.115478992462158
310,5523,92842,51944,0,20.16751480102539
311,5517,92848,51941,0,20.62315011024475
312,5523,92842,51944,0,17.8996639251709
313,5531,92834,51948,0,17.37027645111084
314,5529,92836,51947,0,19.842835664749146
315,5535,92830,51950,0,19.577661991119385
316,5535,92830,51950,0,18.611676931381226
317,5541,92824,51953,0,17.04503631591797
318,5533,92832,51949,0,17.448680877685547
319,5537,92828,51951,0,17.130977392196655
320,5521,92844,51943,0,19.570124626159668
321,5543,92822,51954,0,16.977359294891357
322,5499,92866,51932,0,17.308398485183716
323,5545,92820,51955,0,17.24016523361206
324,5521,92844,51943,0,17.169141054153442
325,5527,92838,51946,0,19.758987426757812
326,5545,92820,51955,0,17.33450222015381
327,5529,92836,51947,0,17.332542419433594
328,5529,92836,51947,0,17.242215156555176
329,5525,92840,51945,0,19.710007190704346
330,5527,92838,51946,0,17.317498207092285
331,5531,92834,51948,0,17.199161529541016
332,5535,92830,51950,0,16.880250215530396
333,5543,92822,51954,0,19.94589138031006
334,5543,92822,51954,0,17.40718960762024
335,5519,92846,51942,0,17.165539503097534
336,5517,92848,51941,0,17.1332950592041
337,5533,92832,51949,0,20.026801347732544
338,5527,92838,51946,0,17.236255168914795
339,5563,92802,51964,0,17.2836971282959
340,5541,92824,51953,0,17.149477243423462
341,5521,92844,51943,0,16.98025608062744
342,5531,92834,51948,0,20.019357442855835
343,5519,92846,51942,0,17.51819896697998
344,5513,92852,51939,0,17.487448930740356
345,5533,92832,51949,0,17.421508073806763
346,5535,92830,51950,0,19.962093591690063
347,5519,92846,51942,0,17.306942224502563
348,5543,92822,51954,0,17.064626455307007
349,5539,92826,51952,0,17.16600227355957
350,5523,92842,51944,0,17.39603018760681
351,5521,92844,51943,0,17.27045702934265
352,5545,92820,51955,0,20.035689115524292
353,5535,92830,51950,0,17.06422710418701
354,5541,92824,51953,0,17.147808074951172
355,5517,92848,51941,0,17.398706197738647
356,5537,92828,51951,0,19.70724368095398
357,5527,92838,51946,0,17.06464695930481
358,5521,92844,51943,0,17.222362518310547
359,5533,92832,51949,0,17.207927227020264
360,5537,92828,51951,0,19.854543209075928
361,5551,92814,51958,0,16.94602632522583
362,5553,92812,51959,0,17.007745265960693
363,5515,92850,51940,0,16.97532606124878
364,5521,92844,51943,0,19.72982430458069
365,5521,92844,51943,0,17.20965266227722
366,5529,92836,51947,0,17.141297578811646
367,5525,92840,51945,0,17.13433027267456
368,5557,92808,51961,0,17.29910707473755
369,5541,92824,51953,0,19.66897201538086
370,5523,92842,51944,0,17.18603491783142
371,5531,92834,51948,0,16.702847719192505
372,5529,92836,51947,0,17.403109312057495
373,5525,92840,51945,0,20.077717781066895
374,5551,92814,51958,0,17.237971305847168
375,5551,92814,51958,0,17.695952892303467
376,5511,92854,51938,0,17.20090126991272
377,5529,92836,51947,0,17.31717872619629
378,5537,92828,51951,0,17.363168716430664
379,5509,92856,51937,0,19.74630880355835
380,5531,92834,51948,0,16.973849773406982
381,5501,92864,51933,0,17.343260049819946
382,5541,92824,51953,0,17.397712230682373
383,5521,92844,51943,0,19.94387197494507
384,5533,92832,51949,0,17.329085111618042
385,5529,92836,51947,0,17.097558975219727
386,5509,92856,51937,0,17.373815774917603
387,5531,92834,51948,0,19.9628689289093
388,5521,92844,51943,0,17.27288794517517
389,5525,92840,51945,0,17.010991096496582
390,5531,92834,51948,0,17.181612014770508
391,5525,92840,51945,0,19.621790647506714
392,5535,92830,51950,0,17.463351249694824
393,5553,92812,51959,0,17.030896425247192
394,5529,92836,51947,0,17.499378442764282
395,5539,92826,51952,0,20.21039319038391
396,5523,92842,51944,0,17.432483911514282
397,5517,92848,51941,0,17.206226587295532
398,5539,92826,51952,0,17.151917457580566
399,5525,92840,51945,0,17.15998101234436
400,5535,92830,51950,0,20.197253227233887
401,5529,92836,51947,0,17.06599521636963
402,5525,92840,51945,0,17.08873963356018
403,5531,92834,51948,0,17.03007960319519
404,5529,92836,51947,0,17.027016639709473
405,5547,92818,51956,0,19.932295560836792
